aria,norm,outlier,life_min,min_block,compound_strat,rho,p_glob,n_blocchi
2.0,trim_gara,1.1,3,5,1,0.392275,0.000500,2724
2.0,trim_gara,1.1,3,8,0,0.428842,0.000500,2443
2.0,trim_gara,1.1,3,8,1,0.392405,0.000500,1534
2.0,trim_gara,1.1,4,5,0,0.413231,0.000500,2722
2.0,trim_gara,1.1,4,5,1,0.378761,0.000500,2619
2.0,trim_gara,1.1,4,8,0,0.415478,0.000500,2341
2.0,trim_gara,1.1,4,8,1,0.381877,0.000500,1441
3.0,med_gara,1.05,3,5,0,0.345335,0.000500,2447
3.0,med_gara,1.05,3,5,1,0.306322,0.000500,2100
3.0,med_gara,1.05,3,8,0,0.349404,0.000500,1829
3.0,med_gara,1.05,3,8,1,0.316416,0.000500,925
3.0,med_gara,1.05,4,5,0,0.336348,0.000500,2369
3.0,med_gara,1.05,4,5,1,0.294387,0.000500,2005
3.0,med_gara,1.05,4,8,0,0.339711,0.000500,1722
3.0,med_gara,1.05,4,8,1,0.307833,0.000500,875
3.0,med_gara,1.07,3,5,0,0.345246,0.000500,2448
3.0,med_gara,1.07,3,5,1,0.305900,0.000500,2101
3.0,med_gara,1.07,3,8,0,0.349351,0.000500,1831
3.0,med_gara,1.07,3,8,1,0.317013,0.000500,926
3.0,med_gara,1.07,4,5,0,0.336576,0.000500,2370
3.0,med_gara,1.07,4,5,1,0.293985,0.000500,2006
3.0,med_gara,1.07,4,8,0,0.339828,0.000500,1724
3.0,med_gara,1.07,4,8,1,0.308211,0.000500,876
3.0,med_gara,1.1,3,5,0,0.344884,0.000500,2449
3.0,med_gara,1.1,3,5,1,0.305346,0.000500,2101
3.0,med_gara,1.1,3,8,0,0.349118,0.000500,1831
3.0,med_gara,1.1,3,8,1,0.316946,0.000500,926
3.0,med_gara,1.1,4,5,0,0.336200,0.000500,2370
3.0,med_gara,1.1,4,5,1,0.293388,0.000500,2007
3.0,med_gara,1.1,4,8,0,0.339600,0.000500,1724
3.0,med_gara,1.1,4,8,1,0.308111,0.000500,876
3.0,med_stint,1.05,3,5,0,-0.000439,0.529735,2447
3.0,med_stint,1.05,3,5,1,0.012364,0.076962,2100
3.0,med_stint,1.05,3,8,0,-0.006005,0.792104,1829
3.0,med_stint,1.05,3,8,1,0.011650,0.156922,925
3.0,med_stint,1.05,4,5,0,-0.002201,0.610695,2369
3.0,med_stint,1.05,4,5,1,0.009489,0.145427,2005
3.0,med_stint,1.05,4,8,0,-0.009781,0.899050,1722
3.0,med_stint,1.05,4,8,1,0.006158,0.320840,875
3.0,med_stint,1.07,3,5,0,-0.000041,0.498751,2448
3.0,med_stint,1.07,3,5,1,0.012123,0.088956,2101
3.0,med_stint,1.07,3,8,0,-0.005440,0.757121,1831
3.0,med_stint,1.07,3,8,1,0.012640,0.141929,926
3.0,med_stint,1.07,4,5,0,-0.001745,0.589705,2370
3.0,med_stint,1.07,4,5,1,0.009645,0.146927,2006
3.0,med_stint,1.07,4,8,0,-0.008995,0.878061,1724
3.0,med_stint,1.07,4,8,1,0.007168,0.280360,876
3.0,med_stint,1.1,3,5,0,-0.000190,0.511244,2449
3.0,med_stint,1.1,3,5,1,0.011929,0.085457,2101
3.0,med_stint,1.1,3,8,0,-0.005663,0.761119,1831
3.0,med_stint,1.1,3,8,1,0.012466,0.137931,926
3.0,med_stint,1.1,4,5,0,-0.002116,0.636182,2370
3.0,med_stint,1.1,4,5,1,0.009302,0.152424,2007
3.0,med_stint,1.1,4,8,0,-0.009265,0.884058,1724
3.0,med_stint,1.1,4,8,1,0.007040,0.276362,876
3.0,trim_gara,1.05,3,5,0,0.389091,0.000500,2447
3.0,trim_gara,1.05,3,5,1,0.349383,0.000500,2100
3.0,trim_gara,1.05,3,8,0,0.391604,0.000500,1829
3.0,trim_gara,1.05,3,8,1,0.363341,0.000500,925
3.0,trim_gara,1.05,4,5,0,0.377572,0.000500,2369
3.0,trim_gara,1.05,4,5,1,0.337473,0.000500,2005
3.0,trim_gara,1.05,4,8,0,0.379584,0.000500,1722
