pop,gara,drv,L,residuo_reinfl,dentro_pitwindow
ctrl,Australia,BEA,53,1.3482,0
ctrl,Australia,BEA,54,3.2317,0
ctrl,Australia,BEA,55,5.4353,0
ctrl,Australia,BEA,6,-1.8079,0
ctrl,Australia,BEA,7,-1.1220,0
ctrl,Australia,BEA,8,-1.0673,0
ctrl,Australia,BOR,22,-1.1674,1
ctrl,Australia,BOR,23,-0.4647,1
ctrl,Australia,BOR,24,0.4042,1
ctrl,Australia,BOR,25,0.5779,1
ctrl,Australia,BOR,26,0.4936,1
ctrl,Australia,BOR,27,0.5413,1
ctrl,Australia,BOR,28,0.3541,1
ctrl,Australia,BOR,3,-2.4584,0
ctrl,Australia,BOR,37,1.9033,0
ctrl,Australia,BOR,38,0.6194,0
ctrl,Australia,BOR,39,0.2875,0
ctrl,Australia,BOR,4,-0.1067,0
ctrl,Australia,BOR,40,0.0368,0
ctrl,Australia,BOR,41,-1.3388,0
ctrl,Australia,BOR,42,-0.6871,0
ctrl,Australia,BOR,43,-0.3544,0
ctrl,Australia,BOR,44,-0.6774,0
ctrl,Australia,BOR,45,0.1815,0
ctrl,Australia,BOR,46,2.0552,0
ctrl,Australia,BOR,47,2.9634,0
ctrl,Australia,BOR,48,2.3464,0
ctrl,Australia,BOR,49,3.1594,0
ctrl,Australia,BOR,5,-0.6768,0
ctrl,Australia,BOR,50,2.9027,0
ctrl,Australia,BOR,6,-2.1962,0
ctrl,Australia,BOR,7,-1.9825,0
ctrl,Australia,BOR,8,-1.3473,0
ctrl,Australia,BOT,3,-4.2504,0
ctrl,Australia,BOT,4,-3.5187,0
ctrl,Australia,BOT,5,-2.8149,0
ctrl,Australia,BOT,6,-2.0412,0
ctrl,Australia,BOT,7,-0.6055,0
ctrl,Australia,COL,21,-0.4886,1
ctrl,Australia,COL,22,0.2643,1
ctrl,Australia,COL,23,0.4671,1
ctrl,Australia,COL,24,0.2852,1
ctrl,Australia,COL,25,0.6474,1
ctrl,Australia,COL,26,1.6066,1
ctrl,Australia,COL,27,2.5663,1
ctrl,Australia,COL,28,2.0631,1
ctrl,Australia,COL,3,-1.7494,0
ctrl,Australia,COL,4,-0.7377,0
ctrl,Australia,GAS,21,-1.1419,1
ctrl,Australia,GAS,22,-0.3826,1
ctrl,Australia,GAS,23,0.1202,1
ctrl,Australia,GAS,24,-0.2157,1
ctrl,Australia,GAS,25,0.2580,1
ctrl,Australia,GAS,26,0.1362,1
ctrl,Australia,GAS,27,0.6994,1
ctrl,Australia,GAS,28,1.2251,1
ctrl,Australia,GAS,29,1.4925,1
ctrl,Australia,GAS,3,-1.4954,0
ctrl,Australia,GAS,35,2.9268,1
ctrl,Australia,GAS,36,3.8198,1
ctrl,Australia,GAS,37,2.5764,0
ctrl,Australia,GAS,38,2.5389,0
ctrl,Australia,GAS,39,2.5725,0
ctrl,Australia,GAS,4,-0.8677,0
ctrl,Australia,GAS,40,1.2991,0
ctrl,Australia,GAS,41,0.8923,0
ctrl,Australia,GAS,42,0.9766,0
ctrl,Australia,GAS,43,3.2485,0
ctrl,Australia,GAS,44,3.6474,0
ctrl,Australia,GAS,5,-2.8568,0
ctrl,Australia,GAS,6,-3.0059,0
ctrl,Australia,HAD,3,-1.0184,0
ctrl,Australia,HAD,4,0.0013,0
ctrl,Australia,HAD,5,0.5741,0
ctrl,Australia,HAD,6,-0.2678,0
ctrl,Australia,HAD,7,-0.1828,0
ctrl,Australia,HAD,8,0.0509,0
ctrl,Australia,HAM,15,-0.4301,1
ctrl,Australia,HAM,21,-0.3259,1
ctrl,Australia,HAM,22,0.6092,1
ctrl,Australia,HAM,23,1.0022,1
ctrl,Australia,HAM,3,-3.1648,0
ctrl,Australia,HAM,35,0.1484,1
ctrl,Australia,HAM,36,-0.4998,1
ctrl,Australia,HAM,37,-0.8447,0
ctrl,Australia,HAM,38,-0.8533,0
ctrl,Australia,HAM,39,-0.6119,0
ctrl,Australia,HAM,4,-2.1497,0
ctrl,Australia,HAM,40,-0.2629,0
ctrl,Australia,HAM,41,-0.0888,0
ctrl,Australia,HAM,42,0.2474,0
ctrl,Australia,HAM,43,0.3526,0
ctrl,Australia,HAM,44,0.5323,0
ctrl,Australia,HAM,45,0.7520,0
ctrl,Australia,HAM,46,0.6580,0
ctrl,Australia,HAM,47,0.9031,0
ctrl,Australia,HAM,48,1.4093,0
ctrl,Australia,HAM,49,1.2176,0
ctrl,Australia,HAM,5,-1.4759,0
ctrl,Australia,HAM,50,0.9931,0
ctrl,Australia,HAM,51,1.5526,0
ctrl,Australia,HAM,52,1.1197,0
ctrl,Australia,HAM,53,0.3989,0
ctrl,Australia,HAM,54,0.4435,0
ctrl,Australia,HAM,55,0.8351,0
ctrl,Australia,HAM,6,-1.1917,0
ctrl,Australia,HAM,7,1.1046,0
ctrl,Australia,HAM,8,0.3412,0
ctrl,Australia,LAW,21,-0.3782,1
ctrl,Australia,LAW,22,1.6732,1
ctrl,Australia,LAW,23,1.8729,1
ctrl,Australia,LAW,24,0.3376,1
ctrl,Australia,LAW,25,0.0746,1
ctrl,Australia,LAW,26,0.7612,1
ctrl,Australia,LAW,27,0.7133,1
ctrl,Australia,LAW,28,0.8585,1
ctrl,Australia,LAW,3,-3.0124,0
ctrl,Australia,LAW,4,-0.6607,0
ctrl,Australia,LAW,5,-1.1039,0
ctrl,Australia,LAW,6,-3.9557,0
ctrl,Australia,LEC,15,-0.3183,1
ctrl,Australia,LEC,29,0.1101,1
ctrl,Australia,LEC,3,-3.6314,0
ctrl,Australia,LEC,35,2.2727,1
ctrl,Australia,LEC,36,0.5389,1
ctrl,Australia,LEC,37,0.1099,0
ctrl,Australia,LEC,38,0.5888,0
ctrl,Australia,LEC,39,0.9348,0
ctrl,Australia,LEC,4,-2.5517,0
ctrl,Australia,LEC,40,0.9298,0
ctrl,Australia,LEC,41,0.6451,0
ctrl,Australia,LEC,42,0.8535,0
ctrl,Australia,LEC,43,1.2313,0
ctrl,Australia,LEC,44,0.9991,0
ctrl,Australia,LEC,45,0.8013,0
ctrl,Australia,LEC,46,0.8165,0
ctrl,Australia,LEC,47,1.3071,0
ctrl,Australia,LEC,48,1.6868,0
ctrl,Australia,LEC,49,1.3958,0
ctrl,Australia,LEC,5,-1.6879,0
ctrl,Australia,LEC,50,1.3288,0
ctrl,Australia,LEC,51,1.3599,0
ctrl,Australia,LEC,52,1.3621,0
ctrl,Australia,LEC,53,1.2424,0
ctrl,Australia,LEC,54,1.2318,0
ctrl,Australia,LEC,55,1.4847,0
ctrl,Australia,LEC,6,-0.3677,0
ctrl,Australia,LEC,7,1.7796,0
ctrl,Australia,LEC,8,-0.1788,0
ctrl,Australia,LIN,22,1.0382,1
ctrl,Australia,LIN,23,-0.1751,1
ctrl,Australia,LIN,24,-0.4848,1
ctrl,Australia,LIN,25,-0.0441,1
ctrl,Australia,LIN,26,0.5686,1
ctrl,Australia,LIN,27,1.0256,1
ctrl,Australia,LIN,28,0.7346,1
ctrl,Australia,LIN,29,0.7602,1
ctrl,Australia,LIN,3,-1.8704,0
ctrl,Australia,LIN,35,1.2399,1
ctrl,Australia,LIN,36,1.3528,1
ctrl,Australia,LIN,37,2.7128,0
ctrl,Australia,LIN,38,6.0859,0
ctrl,Australia,LIN,39,5.4128,0
ctrl,Australia,LIN,4,-1.4044,0
ctrl,Australia,LIN,40,2.4558,0
ctrl,Australia,LIN,41,1.9950,0
ctrl,Australia,LIN,42,1.4163,0
ctrl,Australia,LIN,43,1.2331,0
ctrl,Australia,LIN,44,1.2079,0
ctrl,Australia,LIN,45,1.4186,0
