gara,stagione,condizione,pilota,giro,pit_lane_time,delta_inlap,delta_outlap,pit_loss,compound_in,compound_out,n_ref_in,n_ref_out,d_in_S1,d_in_S2,d_in_S3,d_out_S1,d_out_S2,d_out_S3
2026-BGP,2026,DRY,ALB,14,41.2340,0.0000,33.8015,33.8015,HARD,MEDIUM,11.0000,4.0000,0.1170,-0.0190,-0.9700,33.8015,0.2100,0.0030
2026-BGP,2026,DRY,ALB,23,39.7710,0.0000,35.8330,35.8330,MEDIUM,SOFT,6.0000,4.0000,0.1210,-0.0300,-0.8995,35.8330,0.3460,-0.1740
2026-BGP,2026,DRY,BEA,29,29.9200,0.0000,21.7600,21.7600,MEDIUM,HARD,25.0000,4.0000,-0.2930,0.5910,-1.0060,21.7600,0.2815,-0.0140
2026-BGP,2026,DRY,BOR,26,28.7450,0.0000,20.6235,20.6235,MEDIUM,HARD,21.0000,4.0000,-0.3100,0.3040,-0.7320,20.6235,0.0515,0.1150
2026-BGP,2026,DRY,BOT,29,31.6210,0.0000,23.8790,23.8790,MEDIUM,HARD,25.0000,4.0000,0.0600,0.0160,-0.8880,23.8790,0.5190,-0.1450
2026-BGP,2026,DRY,GAS,23,33.7180,0.0000,25.6895,25.6895,MEDIUM,HARD,18.0000,4.0000,0.0605,-0.2665,-0.6595,25.6895,1.6910,0.3865
2026-BGP,2026,DRY,HAD,19,30.0350,0.0000,22.3295,22.3295,MEDIUM,HARD,16.0000,2.0000,0.0070,-0.2010,-0.8610,22.3295,0.3880,-0.2115
2026-BGP,2026,DRY,HAM,23,34.8980,0.0000,26.9700,26.9700,MEDIUM,HARD,19.0000,4.0000,-0.0030,-0.4220,-0.1150,26.9700,0.0955,-0.1505
2026-BGP,2026,DRY,HUL,17,29.1280,0.0000,20.7610,20.7610,MEDIUM,HARD,14.0000,3.0000,-0.5350,0.3090,-1.1130,20.7610,0.2250,0.5380
2026-BGP,2026,DRY,LAW,28,29.0520,0.0000,20.7725,20.7725,MEDIUM,HARD,24.0000,4.0000,-0.4060,-0.3255,-0.6495,20.7725,0.3825,0.0350
2026-BGP,2026,DRY,LEC,25,28.4540,0.0000,20.4870,20.4870,MEDIUM,HARD,21.0000,4.0000,-0.0620,0.2060,-0.4630,20.4870,-0.4020,-0.3360
2026-BGP,2026,DRY,LIN,27,29.0000,0.0000,21.6705,21.6705,MEDIUM,HARD,22.0000,4.0000,-0.1090,-0.1945,-1.0230,21.6705,-0.0025,-0.1385
2026-BGP,2026,DRY,NOR,28,28.8530,0.0000,20.7765,20.7765,MEDIUM,HARD,24.0000,4.0000,-0.1110,0.0420,-0.6390,20.7765,0.5065,0.0215
2026-BGP,2026,DRY,RUS,23,28.6090,0.0000,20.7965,20.7965,MEDIUM,HARD,19.0000,4.0000,-0.2580,-0.1470,-0.4210,20.7965,-0.0735,0.0705
2026-BGP,2026,DRY,RUS,34,28.3910,0.0000,20.7530,20.7530,HARD,MEDIUM,9.0000,2.0000,0.1510,0.4480,-0.4560,20.7530,0.4765,0.3180
2026-BGP,2026,DRY,STR,18,28.5970,0.0000,19.6600,19.6600,MEDIUM,HARD,15.0000,3.0000,0.0180,-0.0560,-0.5290,19.6600,-0.0040,-0.0390
2026-BGP,2026,DRY,VER,17,28.7120,0.0000,20.2730,20.2730,MEDIUM,HARD,14.0000,3.0000,-0.3855,0.0780,-0.4000,20.2730,-0.0030,-0.1390
