circuito,stagione,round,durata_s
Cina,2025,2,22.388
Cina,2025,2,22.454
Cina,2025,2,23.938
Cina,2025,2,22.324
Cina,2025,2,22.213
Cina,2025,2,22.151
Cina,2025,2,22.721
Cina,2025,2,22.536
Cina,2025,2,23.362
Cina,2025,2,22.959
Cina,2025,2,22.808
Cina,2025,2,22.790
Cina,2025,2,22.355
Cina,2025,2,22.234
Cina,2025,2,22.583
Cina,2025,2,22.995
Cina,2025,2,22.364
Cina,2025,2,38.102
Cina,2026,2,23.062
Cina,2026,2,22.721
Cina,2026,2,23.678
Cina,2026,2,23.106
Cina,2026,2,23.005
Cina,2026,2,22.967
Cina,2026,2,27.795
Cina,2026,2,23.539
Cina,2026,2,25.748
Cina,2026,2,22.433
Cina,2026,2,25.633
Cina,2026,2,23.390
Cina,2026,2,26.213
Cina,2026,2,25.997
Cina,2026,2,23.291
Cina,2026,2,23.195
Cina,2026,2,37.358
Cina,2026,2,23.290
Cina,2026,2,47.067
Giappone,2023,16,50.143
Giappone,2023,16,41.041
Giappone,2023,16,27.056
Giappone,2023,16,55.802
Giappone,2023,16,32.450
Giappone,2023,16,32.715
Giappone,2023,16,43.868
Giappone,2023,16,53.512
Giappone,2023,16,23.520
Giappone,2023,16,22.944
Giappone,2023,16,23.136
Giappone,2023,16,24.091
Giappone,2023,16,24.086
Giappone,2023,16,41.499
Giappone,2023,16,23.816
Giappone,2023,16,24.455
Giappone,2023,16,52.165
Giappone,2023,16,23.441
Giappone,2023,16,2485.913
Giappone,2023,16,24.382
Giappone,2023,16,24.841
Giappone,2023,16,23.523
Giappone,2023,16,23.197
Giappone,2023,16,23.075
Giappone,2023,16,24.488
Giappone,2023,16,23.660
Giappone,2023,16,35.182
Giappone,2023,16,24.034
Giappone,2023,16,24.294
Giappone,2023,16,23.671
Giappone,2023,16,23.789
Giappone,2023,16,24.116
Giappone,2023,16,23.327
Giappone,2023,16,23.858
Giappone,2023,16,22.926
Giappone,2023,16,23.631
Giappone,2023,16,24.651
Giappone,2023,16,23.198
Giappone,2023,16,23.182
Giappone,2023,16,23.696
Giappone,2023,16,23.338
Giappone,2023,16,23.374
Giappone,2023,16,30.651
Giappone,2024,4,1575.603
Giappone,2024,4,1577.661
Giappone,2024,4,1580.116
Giappone,2024,4,1580.097
Giappone,2024,4,1580.924
Giappone,2024,4,1580.204
Giappone,2024,4,1580.696
Giappone,2024,4,1583.333
Giappone,2024,4,1581.238
Giappone,2024,4,1580.886
Giappone,2024,4,1582.542
Giappone,2024,4,1584.553
Giappone,2024,4,1586.095
Giappone,2024,4,1586.793
Giappone,2024,4,1585.911
Giappone,2024,4,1584.630
Giappone,2024,4,1585.267
Giappone,2024,4,1582.912
Giappone,2024,4,23.622
Giappone,2024,4,24.824
Giappone,2024,4,23.358
Giappone,2024,4,23.910
Giappone,2024,4,23.049
Giappone,2024,4,26.653
Giappone,2024,4,23.420
Giappone,2024,4,23.358
Giappone,2024,4,22.998
Giappone,2024,4,22.990
Giappone,2024,4,23.136
Giappone,2024,4,23.177
Giappone,2024,4,23.844
Giappone,2024,4,23.394
Giappone,2024,4,23.577
Giappone,2024,4,26.198
Giappone,2024,4,25.946
Giappone,2024,4,25.530
Giappone,2024,4,23.486
Giappone,2024,4,23.238
Giappone,2024,4,23.333
Giappone,2024,4,23.285
Giappone,2024,4,23.232
Giappone,2024,4,22.848
Giappone,2024,4,23.102
Giappone,2024,4,22.956
Giappone,2024,4,23.157
Giappone,2024,4,23.993
Giappone,2024,4,24.181
Giappone,2024,4,23.234
Giappone,2024,4,22.911
Giappone,2024,4,24.220
Giappone,2024,4,23.591
Giappone,2024,4,22.991
Giappone,2024,4,23.956
Giappone,2024,4,23.287
Giappone,2025,3,23.724
Giappone,2025,3,23.382
Giappone,2025,3,23.184
Giappone,2025,3,23.037
Giappone,2025,3,24.397
Giappone,2025,3,23.222
Giappone,2025,3,23.346
Giappone,2025,3,23.515
Giappone,2025,3,24.834
Giappone,2025,3,24.181
Giappone,2025,3,23.093
Giappone,2025,3,25.708
Giappone,2025,3,26.041
Giappone,2025,3,23.333
Giappone,2025,3,22.937
Giappone,2025,3,23.608
Giappone,2025,3,24.380
Giappone,2025,3,23.419
Giappone,2025,3,24.464
Giappone,2025,3,23.662
Giappone,2025,3,23.337
Giappone,2026,3,25.081
Giappone,2026,3,23.316
Giappone,2026,3,23.649
Giappone,2026,3,22.992
Giappone,2026,3,26.335
Giappone,2026,3,23.444
Giappone,2026,3,25.129
Giappone,2026,3,23.698
Giappone,2026,3,24.629
Giappone,2026,3,26.458
Giappone,2026,3,27.307
Giappone,2026,3,22.937
Giappone,2026,3,25.083
Giappone,2026,3,24.600
Giappone,2026,3,23.288
Giappone,2026,3,24.630
Giappone,2026,3,24.304
Giappone,2026,3,22.891
Giappone,2026,3,24.165
Giappone,2026,3,24.490
Giappone,2026,3,24.396
Giappone,2026,3,24.014
Giappone,2026,3,23.999
Giappone,2026,3,23.501
Giappone,2026,3,23.072
Giappone,2026,3,24.103
Giappone,2026,3,26.053
Giappone,2026,3,32.736
Giappone,2026,3,24.337
Gran Bretagna,2023,10,41.972
Gran Bretagna,2023,10,28.353
Gran Bretagna,2023,10,28.244
Gran Bretagna,2023,10,29.177
Gran Bretagna,2023,10,28.869
Gran Bretagna,2023,10,28.242
Gran Bretagna,2023,10,29.455
Gran Bretagna,2023,10,28.060
Gran Bretagna,2023,10,28.655
Gran Bretagna,2023,10,28.847
Gran Bretagna,2023,10,28.458
Gran Bretagna,2023,10,28.561
Gran Bretagna,2023,10,29.634
Gran Bretagna,2023,10,28.805
Gran Bretagna,2023,10,29.662
Gran Bretagna,2023,10,28.603
Gran Bretagna,2023,10,28.413
Gran Bretagna,2023,10,30.003
Gran Bretagna,2023,10,29.056
Gran Bretagna,2023,10,28.438
Gran Bretagna,2023,10,29.169
Gran Bretagna,2023,10,28.679
Gran Bretagna,2023,10,28.709
Gran Bretagna,2023,10,34.374
Gran Bretagna,2024,12,29.178
Gran Bretagna,2024,12,28.481
Gran Bretagna,2024,12,28.391
Gran Bretagna,2024,12,28.495
Gran Bretagna,2024,12,29.838
Gran Bretagna,2024,12,28.276
Gran Bretagna,2024,12,28.365
Gran Bretagna,2024,12,29.199
Gran Bretagna,2024,12,29.412
Gran Bretagna,2024,12,29.023
Gran Bretagna,2024,12,28.875
Gran Bretagna,2024,12,30.628
Gran Bretagna,2024,12,28.661
Gran Bretagna,2024,12,28.929
Gran Bretagna,2024,12,32.045
Gran Bretagna,2024,12,29.341
Gran Bretagna,2024,12,34.742
Gran Bretagna,2024,12,29.289
Gran Bretagna,2024,12,30.308
