anno,gara,n_piloti,rho_block,peso
2023,Australian,11,0.596724,11
2023,Australian,11,0.617990,11
2023,Australian,11,0.642130,11
2023,Australian,11,0.644250,11
2023,Australian,11,0.712900,11
2023,Australian,10,-0.047980,10
2023,Australian,10,0.207059,10
2023,Australian,10,0.357813,10
2023,Australian,10,0.516887,10
2023,Australian,10,0.589470,10
2023,Australian,9,-0.206257,9
2023,Australian,9,0.068465,9
2023,Australian,9,0.507972,9
2023,Australian,8,0.783547,8
2023,Australian,7,0.836660,7
2023,Austrian,17,0.307416,17
2023,Austrian,17,0.584621,17
2023,Austrian,16,0.420979,16
2023,Austrian,16,0.422456,16
2023,Austrian,16,0.581985,16
2023,Austrian,16,0.652800,16
2023,Austrian,16,0.656831,16
2023,Austrian,16,0.812416,16
2023,Austrian,15,0.626681,15
2023,Austrian,15,0.686942,15
2023,Austrian,15,0.722024,15
2023,Austrian,15,0.765238,15
2023,Austrian,15,0.834842,15
2023,Austrian,14,0.374864,14
2023,Austrian,14,0.396477,14
2023,Austrian,14,0.495076,14
2023,Austrian,14,0.497799,14
2023,Austrian,14,0.669344,14
2023,Austrian,14,0.682126,14
2023,Austrian,14,0.792616,14
2023,Austrian,14,0.810575,14
2023,Austrian,14,0.855845,14
2023,Austrian,13,0.324622,13
2023,Austrian,13,0.329737,13
2023,Austrian,13,0.578515,13
2023,Austrian,13,0.634488,13
2023,Austrian,13,0.651040,13
2023,Austrian,13,0.710640,13
2023,Austrian,13,0.750351,13
2023,Austrian,13,0.897804,13
2023,Austrian,12,0.342165,12
2023,Austrian,12,0.548338,12
2023,Austrian,12,0.679484,12
2023,Austrian,12,0.782461,12
