gara,drv,k,freeze_L,pit_P,compound_out,pitloss,residuo,gap_rejoin_sim,dpace_prepit,cambio_davanti
Spagna,COL,1,11,12,HARD,22.38,5.4036,0.2939,0.0930,1
Spagna,COL,1,33,34,HARD,22.38,3.1754,0.1433,0.0000,1
Spagna,COL,3,11,12,HARD,22.38,5.0082,0.2939,0.0930,1
Spagna,COL,3,33,34,HARD,22.38,4.5700,0.1433,0.0000,1
Spagna,COL,5,11,12,HARD,22.38,5.7687,0.2939,0.0930,1
Spagna,GAS,1,13,14,HARD,22.38,4.0876,7.1855,0.0000,1
Spagna,GAS,3,13,14,HARD,22.38,4.2713,6.1249,0.0000,1
Spagna,GAS,5,13,14,HARD,22.38,5.3259,5.0644,0.0000,1
Spagna,HAD,1,14,15,HARD,22.38,3.9716,2.0515,-1.0555,1
Spagna,HAD,1,31,32,HARD,22.38,3.6212,45.9075,-1.0335,0
Spagna,HAD,1,57,58,SOFT,22.38,2.8069,58.5220,0.0000,0
Spagna,HAD,3,14,15,HARD,22.38,2.9450,0.3693,-1.0555,1
Spagna,HAD,3,31,32,HARD,22.38,4.0314,46.8279,-1.0335,0
Spagna,HAD,5,14,15,HARD,22.38,1.4162,0.3693,-1.0555,1
Spagna,HAD,5,31,32,HARD,22.38,5.6735,47.7484,-1.0335,0
Spagna,HAM,1,10,11,HARD,22.38,5.9210,10.0540,-2.3637,1
Spagna,HAM,1,26,27,MEDIUM,22.38,3.7372,1.1446,-1.5182,1
Spagna,HAM,3,10,11,HARD,22.38,9.1020,9.0140,-2.3637,1
Spagna,HAM,3,26,27,MEDIUM,22.38,3.7460,1.1446,-1.5182,1
Spagna,HAM,5,10,11,HARD,22.38,12.8370,7.9740,-2.3637,1
Spagna,HAM,5,26,27,MEDIUM,22.38,3.7918,1.1446,-1.5182,1
Spagna,HUL,1,12,13,HARD,22.38,7.3431,3.4970,-0.4162,1
Spagna,HUL,3,12,13,HARD,22.38,11.3222,1.2738,-0.4162,1
Spagna,HUL,5,12,13,HARD,22.38,13.5068,1.2738,-0.4162,1
Spagna,LAW,1,10,11,HARD,22.38,9.0790,2.3580,-0.2842,1
Spagna,LAW,1,34,35,HARD,22.38,4.9729,3.3680,0.2416,1
Spagna,LAW,3,10,11,HARD,22.38,12.4880,1.2980,-0.2842,1
Spagna,LAW,3,34,35,HARD,22.38,8.8248,3.7150,0.2416,1
Spagna,LAW,5,10,11,HARD,22.38,14.8550,1.2980,-0.2842,1
Spagna,LEC,1,15,16,HARD,22.38,5.3981,19.4272,-2.1012,1
Spagna,LEC,3,15,16,HARD,22.38,7.4702,22.4434,-2.1012,1
Spagna,LEC,5,15,16,HARD,22.38,8.7013,25.4595,-2.1012,1
Spagna,LIN,1,21,22,HARD,22.38,5.5055,2.2995,1.5890,1
Spagna,LIN,1,36,37,HARD,22.38,3.5499,3.6083,1.6379,1
Spagna,LIN,3,21,22,HARD,22.38,7.2531,4.2166,1.5890,1
Spagna,LIN,5,21,22,HARD,22.38,7.9766,6.1337,1.5890,1
Spagna,NOR,1,12,13,HARD,22.38,4.7771,12.3906,-2.2092,1
Spagna,NOR,1,34,35,HARD,22.38,3.8376,2.1915,-2.1288,1
Spagna,NOR,3,12,13,HARD,22.38,7.7002,11.3373,-2.2092,0
Spagna,NOR,3,34,35,HARD,22.38,4.1383,1.3299,-2.1288,0
Spagna,NOR,5,12,13,HARD,22.38,10.2853,10.2839,-2.2092,0
Spagna,OCO,1,12,13,HARD,22.38,6.9571,3.4970,0.2308,1
Spagna,OCO,1,33,34,MEDIUM,22.38,8.4042,29.8559,0.7725,0
Spagna,OCO,1,57,58,SOFT,22.38,4.3587,31.9664,1.5756,0
Spagna,OCO,3,12,13,HARD,22.38,9.5432,1.2750,0.2308,0
Spagna,OCO,3,33,34,MEDIUM,22.38,7.9194,31.6868,0.7725,0
Spagna,OCO,5,12,13,HARD,22.38,9.6243,1.2750,0.2308,0
Spagna,PER,1,11,12,HARD,22.38,8.7115,13.0420,0.5765,1
Spagna,PER,1,30,31,HARD,22.38,6.0052,5.6795,1.9416,1
Spagna,PER,3,11,12,HARD,22.38,10.8821,11.8600,0.5765,0
Spagna,PER,3,30,31,HARD,22.38,6.2324,6.4631,1.9416,1
Spagna,PER,5,11,12,HARD,22.38,14.6976,10.6780,0.5765,0
Spagna,PER,5,30,31,HARD,22.38,6.7615,7.2466,1.9416,1
Spagna,PIA,1,13,14,HARD,22.38,5.8141,0.7320,-1.4937,1
Spagna,PIA,1,35,36,HARD,22.38,4.9187,18.4221,-1.7156,1
Spagna,PIA,3,13,14,HARD,22.38,5.6582,0.7320,-1.4937,0
Spagna,PIA,5,13,14,HARD,22.38,5.2633,0.7320,-1.4937,0
Spagna,RUS,1,11,12,HARD,22.38,6.1285,5.4200,-2.8265,1
Spagna,RUS,1,35,36,HARD,22.38,2.8277,6.0477,-1.6276,1
Spagna,RUS,3,11,12,HARD,22.38,9.9711,3.6560,-2.8265,1
Spagna,RUS,5,11,12,HARD,22.38,13.9786,1.8920,-2.8265,0
Spagna,SAI,1,13,14,HARD,22.38,6.2366,1.1814,0.0360,1
Spagna,SAI,1,29,30,HARD,22.38,5.8995,10.8905,0.4587,1
Spagna,SAI,1,54,55,MEDIUM,22.38,4.4701,3.4823,0.8276,1
Spagna,SAI,3,13,14,HARD,22.38,6.8996,1.1814,0.0360,0
Spagna,SAI,3,29,30,HARD,22.38,7.9629,10.5439,0.4587,1
Spagna,SAI,3,54,55,MEDIUM,22.38,2.8082,3.4835,0.8276,1
Spagna,SAI,5,13,14,HARD,22.38,7.4866,1.1814,0.0360,0
Spagna,SAI,5,29,30,HARD,22.38,13.1664,10.1974,0.4587,1
Spagna,VER,1,11,12,MEDIUM,22.38,5.9305,0.4669,-2.1459,1
Spagna,VER,1,28,29,HARD,22.38,5.8249,13.9280,-1.2475,1
Spagna,VER,3,11,12,MEDIUM,22.38,4.8262,0.4669,-2.1459,1
Spagna,VER,3,28,29,HARD,22.38,7.2158,13.6960,-1.2475,1
Spagna,VER,5,11,12,MEDIUM,22.38,4.4189,0.4669,-2.1459,1
Spagna,VER,5,28,29,HARD,22.38,9.0387,13.4640,-1.2475,1
