gara,drv,k,freeze_L,pit_P,compound_out,pitloss,residuo,gap_rejoin_sim,dpace_prepit,cambio_davanti
Gran Bretagna,ALB,1,13,14,MEDIUM,29.12,8.2092,82.3517,0.7528,1
Gran Bretagna,ALB,3,13,14,MEDIUM,29.12,11.8713,78.4866,0.7528,1
Gran Bretagna,ALB,5,13,14,MEDIUM,29.12,15.1815,74.6215,0.7528,1
Gran Bretagna,ANT,1,34,35,HARD,29.12,-6.7032,16.6145,-1.1873,1
Gran Bretagna,ANT,1,40,41,MEDIUM,29.12,23.4700,9.1320,-2.6003,1
Gran Bretagna,BEA,1,28,29,HARD,29.12,-5.6895,3.2041,1.3611,1
Gran Bretagna,BEA,3,28,29,HARD,29.12,-6.0671,1.6062,1.3611,1
Gran Bretagna,BEA,5,28,29,HARD,29.12,-6.9816,0.8072,1.3611,0
Gran Bretagna,BOR,1,25,26,HARD,29.12,-6.5842,31.5672,-0.0294,0
Gran Bretagna,BOR,3,25,26,HARD,29.12,-5.9855,31.4705,-0.0294,0
Gran Bretagna,BOR,5,25,26,HARD,29.12,-5.4247,31.3737,-0.0294,0
Gran Bretagna,BOT,1,28,29,HARD,29.12,-2.8925,36.2238,2.1601,1
Gran Bretagna,BOT,3,28,29,HARD,29.12,-2.0919,37.0925,2.1601,0
Gran Bretagna,BOT,5,28,29,HARD,29.12,-0.6324,37.9613,2.1601,0
Gran Bretagna,HAD,1,18,19,HARD,29.12,-3.8555,7.8714,-1.0492,1
Gran Bretagna,HUL,1,16,17,HARD,29.12,-5.9189,3.8038,0.3447,1
Gran Bretagna,HUL,1,33,34,SOFT,29.12,-0.8639,0.0929,0.2059,1
Gran Bretagna,HUL,3,16,17,HARD,29.12,-2.3907,5.9255,0.3447,1
Gran Bretagna,LAW,1,27,28,HARD,29.12,-6.8050,26.6198,0.1507,1
Gran Bretagna,LAW,3,27,28,HARD,29.12,-5.6270,26.6377,0.1507,0
Gran Bretagna,LAW,5,27,28,HARD,29.12,-5.1980,26.6555,0.1507,0
Gran Bretagna,LEC,1,24,25,HARD,29.12,-5.9768,4.3424,-1.6263,1
Gran Bretagna,LEC,3,24,25,HARD,29.12,-3.5855,2.7058,-1.6263,1
Gran Bretagna,LEC,5,24,25,HARD,29.12,-1.3053,1.0692,-1.6263,1
Gran Bretagna,LIN,1,26,27,HARD,29.12,-6.5722,2.0903,0.0000,0
Gran Bretagna,LIN,3,26,27,HARD,29.12,-6.3603,3.3606,0.0000,0
Gran Bretagna,LIN,5,26,27,HARD,29.12,-6.0415,4.6309,0.0000,0
Gran Bretagna,NOR,1,27,28,HARD,29.12,-5.9976,2.7505,-0.6930,1
Gran Bretagna,NOR,3,27,28,HARD,29.12,-5.3212,1.0809,-0.6930,1
Gran Bretagna,NOR,5,27,28,HARD,29.12,-6.1434,1.0809,-0.6930,1
Gran Bretagna,RUS,1,33,34,MEDIUM,29.12,-6.6465,9.3475,-0.8850,1
Gran Bretagna,STR,1,17,18,HARD,29.12,-6.1982,28.4210,3.1942,1
Gran Bretagna,VER,1,16,17,HARD,29.12,-5.9884,1.6180,-1.2737,1
Gran Bretagna,VER,3,16,17,HARD,29.12,-4.6811,0.3443,-1.2737,1
Miami,ALB,1,26,27,HARD,22.63,-1.1862,4.9915,0.0100,1
Miami,ALB,3,26,27,HARD,22.63,0.3546,3.3081,0.0100,0
Miami,ALB,5,26,27,HARD,22.63,2.2674,1.6246,0.0100,0
Miami,ALO,1,40,41,SOFT,22.63,-0.7213,12.0304,1.9222,1
Miami,ALO,3,40,41,SOFT,22.63,-0.8865,12.3338,1.9222,1
Miami,ALO,5,40,41,SOFT,22.63,0.8692,12.6373,1.9222,1
Miami,ANT,1,25,26,HARD,22.63,-1.1670,0.5408,-2.0235,1
Miami,ANT,3,25,26,HARD,22.63,-0.4062,0.5408,-2.0235,1
Miami,ANT,5,25,26,HARD,22.63,-0.4224,0.5408,-2.0235,1
Miami,BEA,1,25,26,HARD,22.63,-0.5062,7.6775,0.0146,1
Miami,BEA,3,25,26,HARD,22.63,1.2006,6.0189,0.0146,0
Miami,BEA,5,25,26,HARD,22.63,3.0284,4.3604,0.0146,0
Miami,BOR,1,31,32,HARD,22.63,-0.3095,18.6085,1.1416,1
Miami,BOR,3,31,32,HARD,22.63,0.1711,19.9481,1.1416,1
Miami,BOR,5,31,32,HARD,22.63,0.5256,20.5490,1.1416,1
Miami,BOT,1,20,21,MEDIUM,22.63,3.3318,19.1087,1.3143,0
Miami,BOT,1,29,30,MEDIUM,22.63,-1.1458,27.5775,1.4654,0
Miami,BOT,3,20,21,MEDIUM,22.63,8.6717,18.7244,1.3143,1
Miami,BOT,3,29,30,MEDIUM,22.63,6.4053,28.9629,1.4654,0
Miami,BOT,5,20,21,MEDIUM,22.63,12.8995,18.3401,1.3143,1
Miami,BOT,5,29,30,MEDIUM,22.63,11.4975,30.3484,1.4654,0
Miami,COL,1,30,31,HARD,22.63,0.7342,1.2692,0.0000,1
Miami,COL,3,30,31,HARD,22.63,0.4596,1.2692,0.0000,1
Miami,COL,5,30,31,HARD,22.63,0.5829,1.2692,0.0000,1
Miami,HAM,1,26,27,HARD,22.63,0.5797,0.8136,-1.0215,1
Miami,HAM,3,26,27,HARD,22.63,-0.3119,0.8136,-1.0215,1
Miami,HAM,5,26,27,HARD,22.63,-0.6065,0.8136,-1.0215,1
Miami,LEC,1,20,21,HARD,22.63,1.9344,2.5681,-1.4699,1
Miami,LEC,3,20,21,HARD,22.63,4.9707,1.0842,-1.4699,1
Miami,LEC,5,20,21,HARD,22.63,5.9009,1.0842,-1.4699,1
Miami,LIN,1,27,28,HARD,22.63,-0.6391,11.1154,0.9204,1
Miami,LIN,3,27,28,HARD,22.63,-0.3652,10.2358,0.9204,1
Miami,LIN,5,27,28,HARD,22.63,1.1247,9.3563,0.9204,0
Miami,NOR,1,26,27,HARD,22.63,1.1355,2.2322,-2.1034,1
Miami,NOR,3,26,27,HARD,22.63,3.8602,1.1503,-2.1034,1
Miami,NOR,5,26,27,HARD,22.63,4.0289,1.1503,-2.1034,1
Miami,OCO,1,30,31,HARD,22.63,0.7804,12.8730,0.7929,1
Miami,OCO,3,30,31,HARD,22.63,2.1637,14.5180,0.7929,1
Miami,OCO,5,30,31,HARD,22.63,3.9041,16.1630,0.7929,1
Miami,PER,1,28,29,HARD,22.63,0.5995,20.9944,1.2885,0
Miami,PER,3,28,29,HARD,22.63,1.9681,21.0877,1.2885,0
Miami,PER,5,28,29,HARD,22.63,3.3856,21.1811,1.2885,1
Miami,PIA,1,27,28,HARD,22.63,0.6677,1.0383,-1.4655,1
Miami,PIA,3,27,28,HARD,22.63,-0.5443,1.0383,-1.4655,1
Miami,PIA,5,27,28,HARD,22.63,-0.4263,1.0383,-1.4655,1
Miami,RUS,1,19,20,HARD,22.63,-0.3994,6.1937,-1.4935,1
Miami,RUS,3,19,20,HARD,22.63,3.2796,3.0499,-1.4935,1
Miami,RUS,5,19,20,HARD,22.63,6.4308,1.4780,-1.4935,1
Miami,SAI,1,27,28,HARD,22.63,0.1640,0.0959,-0.2591,1
