gara,team,drv,fonte,compound,lap_start,lap_end,n,life_start,life_end,life_span,pace,disp,delta_t,n_out,vicino_ritiro,stability,information
Canada,Alpine,COL,Race,HARD,54,67,14,24,37,13,76.238,0.842,3.011,3,False,0.514,0.732
Canada,Alpine,COL,Race,HARD,46,51,5,17,21,4,76.537,0.155,0.368,1,False,0.9,0.201
Canada,Alpine,COL,Race,HARD,33,44,12,3,14,11,76.835,0.661,2.548,2,False,0.773,0.668
Canada,Alpine,GAS,Race,HARD,46,50,5,16,20,4,76.888,0.791,2.301,0,False,0.845,0.445
Canada,Alpine,GAS,Race,HARD,32,44,12,3,14,11,77.078,0.786,2.69,1,False,0.75,0.668
Canada,Alpine,COL,Race,MEDIUM,1,29,25,5,29,24,77.364,0.657,2.271,3,False,0.697,1.0
Canada,Alpine,GAS,Race,MEDIUM,1,29,24,6,29,23,77.614,0.755,2.912,4,False,0.6,1.0
Canada,Aston Martin,STR,Race,MEDIUM,51,64,12,2,14,12,79.424,0.917,3.147,3,True,0.176,0.682
Canada,Aston Martin,STR,Race,SOFT,16,28,11,2,13,11,79.862,0.955,2.96,1,False,0.582,0.65
Canada,Aston Martin,STR,Race,SOFT,31,42,10,18,28,10,80.13,0.936,3.007,0,False,0.701,0.618
Canada,Aston Martin,ALO,Race,SOFT,1,19,17,3,19,16,80.381,0.692,2.359,1,False,0.843,0.827
Canada,Aston Martin,STR,Race,SOFT,2,13,9,4,13,9,80.837,0.728,2.385,2,False,0.707,0.586
Canada,Audi,HUL,Race,MEDIUM,46,50,5,26,30,4,76.624,0.313,0.817,0,False,1.0,0.268
Canada,Audi,BOR,Race,MEDIUM,46,50,5,28,32,4,76.657,0.224,0.541,2,False,0.8,0.227
Canada,Audi,BOR,Race,MEDIUM,32,43,12,14,25,11,76.773,0.74,2.389,3,False,0.615,0.668
Canada,Audi,BOR,Race,MEDIUM,53,66,13,35,48,13,76.799,0.378,1.298,1,False,0.9,0.608
Canada,Audi,HUL,Race,MEDIUM,32,43,12,12,23,11,76.844,0.518,1.81,2,False,0.8,0.64
Canada,Audi,HUL,Race,MEDIUM,53,66,12,33,45,12,76.953,0.587,2.168,1,False,0.9,0.682
Canada,Audi,HUL,Race,MEDIUM,22,28,7,2,8,6,77.633,0.253,0.812,1,False,0.9,0.331
Canada,Audi,BOR,Race,MEDIUM,20,28,9,2,10,8,77.711,0.8,2.624,2,False,0.636,0.573
Canada,Audi,HUL,Race,SOFT,4,19,14,7,21,14,78.049,0.742,2.799,1,False,0.793,0.745
Canada,Audi,BOR,Race,SOFT,4,17,13,3,15,12,78.353,0.608,2.142,1,False,0.9,0.7
Canada,Cadillac,PER,Race,SOFT,31,39,6,3,9,6,77.41,0.784,2.333,1,True,0.301,0.491
Canada,Cadillac,BOT,Race,MEDIUM,51,64,10,5,15,10,78.181,0.573,1.859,3,True,0.288,0.597
Canada,Cadillac,PER,Race,MEDIUM,17,28,12,2,13,11,78.47,0.576,1.871,1,False,0.9,0.649
Canada,Cadillac,PER,Race,SOFT,4,14,11,2,12,10,79.057,0.867,3.111,2,False,0.569,0.636
Canada,Cadillac,BOT,Race,SOFT,31,42,12,2,13,11,79.111,0.641,2.372,2,False,0.793,0.668
Canada,Cadillac,BOT,Race,MEDIUM,11,27,15,2,18,16,79.917,1.005,3.013,3,False,0.353,0.791
Canada,Ferrari,HAM,Race,MEDIUM,55,68,14,24,37,13,74.98,0.365,1.41,1,False,0.9,0.643
Canada,Ferrari,HAM,Race,MEDIUM,47,51,5,16,20,4,75.186,0.206,0.497,0,False,1.0,0.22
Canada,Ferrari,HAM,Race,MEDIUM,33,45,12,3,14,11,75.335,0.382,1.538,1,False,0.9,0.599
Canada,Ferrari,LEC,Race,MEDIUM,47,51,5,16,20,4,75.603,0.65,1.76,1,False,0.884,0.409
Canada,Ferrari,LEC,Race,MEDIUM,33,45,13,2,14,12,75.612,0.683,2.322,2,False,0.751,0.7
Canada,Ferrari,LEC,Race,MEDIUM,54,68,15,23,37,14,75.981,0.719,2.52,2,False,0.716,0.764
Canada,Ferrari,HAM,Race,SOFT,1,29,25,7,32,25,76.42,0.529,2.032,3,False,0.72,1.0
Canada,Ferrari,LEC,Race,SOFT,1,29,25,8,33,25,76.461,0.58,2.546,4,False,0.72,1.0
Canada,Haas F1 Team,BEA,Race,MEDIUM,53,67,15,23,37,14,76.488,0.524,2.027,2,False,0.8,0.764
Canada,Haas F1 Team,BEA,Race,MEDIUM,46,50,5,16,20,4,76.695,0.436,1.162,1,False,0.9,0.32
Canada,Haas F1 Team,OCO,Race,SOFT,52,66,14,23,36,13,76.897,0.557,1.807,3,False,0.72,0.703
Canada,Haas F1 Team,BEA,Race,MEDIUM,32,44,13,2,14,12,77.257,1.034,3.047,1,False,0.504,0.7
Canada,Haas F1 Team,BEA,Race,SOFT,1,29,25,10,34,24,77.646,0.928,3.038,7,False,0.429,1.0
Canada,Haas F1 Team,OCO,Race,SOFT,32,43,10,2,13,11,77.862,0.789,2.83,0,False,0.847,0.632
Canada,Haas F1 Team,OCO,Race,MEDIUM,18,28,11,2,12,10,78.608,0.41,1.255,1,False,0.9,0.525
Canada,Haas F1 Team,OCO,Race,SOFT,45,49,5,15,19,4,78.854,0.876,2.431,0,False,0.76,0.445
Canada,Haas F1 Team,OCO,Race,SOFT,1,15,11,4,15,11,79.613,0.864,3.12,1,False,0.672,0.65
Canada,McLaren,PIA,Race,SOFT,53,66,14,6,19,13,76.391,0.911,3.014,2,False,0.526,0.732
Canada,McLaren,PIA,Race,MEDIUM,46,50,5,38,42,4,76.428,0.514,1.388,0,False,1.0,0.354
