gara,pilota,team,pos_finale,classificato,tipo_arrivo,giri,sesT_fin,partenza,soste,n_soste
Spagna,BOT,Cadillac,21.0,False,RIT,15,4576.409,MEDIUM,14:HARD,2
Spagna,COL,Alpine,8.0,True,pieno_giro,65,8839.311,SOFT,12:HARD;34:HARD,2
Spagna,GAS,Alpine,7.0,True,pieno_giro,65,8825.233,MEDIUM,14:HARD;40:HARD,2
Spagna,HAD,Red Bull Racing,6.0,True,pieno_giro,65,8794.071,MEDIUM,15:HARD;32:HARD;58:SOFT,3
Spagna,HAM,Ferrari,1.0,True,pieno_giro,66,8769.444,SOFT,11:HARD;27:MEDIUM;41:HARD,3
Spagna,HUL,Audi,20.0,False,RIT,29,5718.934,SOFT,13:HARD,2
Spagna,LAW,Racing Bulls,9.0,True,pieno_giro,65,8841.668,MEDIUM,11:HARD;35:HARD,2
Spagna,LEC,Ferrari,16.0,True,doppiato,62,8473.036,MEDIUM,16:HARD;39:HARD,3
Spagna,LIN,Racing Bulls,10.0,True,pieno_giro,65,8847.518,MEDIUM,22:HARD;37:HARD,2
Spagna,NOR,McLaren,3.0,True,pieno_giro,66,8793.163,MEDIUM,13:HARD;35:HARD,2
Spagna,OCO,Haas F1 Team,13.0,True,doppiato,64,8828.593,SOFT,13:HARD;34:MEDIUM;58:SOFT,3
Spagna,PER,Cadillac,14.0,True,doppiato,63,8777.213,SOFT,12:HARD;31:HARD;39:MEDIUM,3
Spagna,PIA,McLaren,5.0,True,pieno_giro,66,8828.105,MEDIUM,14:HARD;36:HARD,2
Spagna,RUS,Mercedes,2.0,True,pieno_giro,66,8789.005,MEDIUM,12:HARD;36:HARD,2
Spagna,SAI,Williams,12.0,True,doppiato,64,8797.31,SOFT,14:HARD;30:HARD;55:MEDIUM,3
Spagna,STR,Aston Martin,22.0,False,RIT,5,3670.396,HARD,,1
Spagna,VER,Red Bull Racing,4.0,True,pieno_giro,66,8809.941,SOFT,12:MEDIUM;29:HARD;40:MEDIUM,3
